Leg0,Leg1,Spine,Beta_Acc,Beta
1608.00,192.00,111.13,0.43,-1.10
1608.00,192.00,111.13,-0.12,-1.10
1596.00,204.00,111.64,-0.91,-1.13
1584.00,216.00,112.18,0.18,-1.12
1584.00,216.00,112.18,-0.37,-1.13
1572.00,228.00,112.76,1.77,-1.08
1572.00,228.00,112.76,-0.18,-1.09
1560.00,240.00,113.36,-0.06,-1.09
1560.00,240.00,113.36,0.61,-1.07
1548.00,252.00,113.99,-0.67,-1.09
1548.00,252.00,113.99,0.43,-1.08
1536.00,264.00,114.65,0.43,-1.07
1524.00,276.00,115.34,1.46,-1.03
1524.00,276.00,115.34,1.16,-1.00
1512.00,288.00,116.06,-0.12,-1.00
1512.00,288.00,116.06,-0.49,-1.01
1500.00,300.00,116.80,0.67,-0.99
1500.00,300.00,116.80,0.12,-0.99
1488.00,312.00,117.57,-0.06,-0.99
1488.00,312.00,117.57,-0.06,-0.99
1476.00,324.00,118.37,0.73,-0.97
1476.00,324.00,118.37,0.73,-0.95
1464.00,336.00,119.20,1.40,-0.91
1452.00,348.00,120.05,1.28,-0.88
1452.00,348.00,120.05,-0.06,-0.88
1440.00,360.00,120.93,-0.18,-0.89
1440.00,360.00,120.93,0.06,-0.88
1428.00,372.00,121.83,0.61,-0.87
1428.00,372.00,121.83,-0.06,-0.87
1416.00,384.00,122.76,1.16,-0.84
1416.00,384.00,122.76,-0.49,-0.85
1404.00,396.00,123.71,0.24,-0.84
1392.00,408.00,124.69,1.52,-0.80
1392.00,408.00,124.69,0.37,-0.79
1380.00,420.00,125.70,0.55,-0.78
1380.00,420.00,125.70,0.24,-0.77
1368.00,432.00,126.72,0.85,-0.75
1368.00,432.00,126.72,0.67,-0.73
1356.00,444.00,127.77,0.24,-0.72
1356.00,444.00,127.77,0.79,-0.70
1344.00,456.00,128.84,1.16,-0.67
1332.00,468.00,129.94,1.59,-0.62
1332.00,468.00,129.94,0.73,-0.60
1320.00,480.00,131.05,1.34,-0.57
1320.00,480.00,131.05,1.16,-0.53
1308.00,492.00,132.19,0.91,-0.51
1308.00,492.00,132.19,-2.07,-0.57
1296.00,504.00,133.35,0.37,-0.56
1296.00,504.00,133.35,0.18,-0.55
1284.00,516.00,134.53,1.34,-0.51
1272.00,528.00,135.73,0.85,-0.49
1272.00,528.00,135.73,0.18,-0.49
1260.00,540.00,136.94,0.85,-0.46
1260.00,540.00,136.94,1.34,-0.42
1248.00,552.00,138.18,0.12,-0.42
1248.00,552.00,138.18,-0.85,-0.44
1236.00,564.00,139.43,1.28,-0.41
1236.00,564.00,139.43,0.49,-0.40
1224.00,576.00,140.71,-0.43,-0.41
1224.00,576.00,140.71,5.18,-0.26
1212.00,588.00,141.99,0.30,-0.26
1200.00,600.00,143.30,0.12,-0.25
1200.00,600.00,143.30,3.96,-0.14
1188.00,612.00,144.62,-1.04,-0.17
1188.00,612.00,144.62,3.35,-0.08
1176.00,624.00,145.96,5.73,0.08
1176.00,624.00,145.96,6.89,0.27
1164.00,636.00,147.31,5.24,0.41
1164.00,636.00,147.31,1.16,0.45
1152.00,648.00,148.67,3.60,0.55
1140.00,660.00,150.05,5.49,0.70
1140.00,660.00,150.05,3.23,0.79
1128.00,672.00,151.44,9.21,1.04
1128.00,672.00,151.44,9.76,1.31
1116.00,684.00,152.85,8.72,1.55
1116.00,684.00,152.85,11.40,1.87
1104.00,696.00,154.26,-0.24,1.86
1104.00,696.00,154.26,3.60,1.96
1092.00,708.00,155.69,2.80,2.04
1080.00,720.00,157.13,7.20,2.24
1080.00,720.00,157.13,8.66,2.48
1068.00,732.00,158.57,5.30,2.62
