time,x,y,z,shaft_length
9.984,-0.000680,-0.009951,0.031194,0.0000
10.016,-0.000680,-0.009882,0.031347,0.0000
10.048,-0.000680,-0.009811,0.031501,0.0000
10.080,-0.000680,-0.009739,0.031654,0.0000
10.112,-0.000680,-0.009666,0.031807,0.0000
10.144,-0.000680,-0.009592,0.031960,0.0000
10.176,-0.000680,-0.009517,0.032112,0.0000
10.208,-0.000680,-0.009441,0.032265,0.0000
10.240,-0.000680,-0.009364,0.032417,0.0000
10.272,-0.000680,-0.009286,0.032569,0.0000
10.304,-0.000680,-0.009207,0.032721,0.0000
10.336,-0.000680,-0.009127,0.032873,0.0000
10.368,-0.000680,-0.009045,0.033024,0.0000
10.400,-0.000680,-0.008963,0.033176,0.0000
10.432,-0.000680,-0.008880,0.033327,0.0000
10.464,-0.000680,-0.008796,0.033478,0.0000
10.496,-0.000680,-0.008711,0.033629,0.0000
10.528,-0.000680,-0.008625,0.033779,0.0000
10.560,-0.000680,-0.008537,0.033930,0.0000
10.592,-0.000680,-0.008449,0.034080,0.0000
10.624,-0.000680,-0.008360,0.034230,0.0000
10.656,-0.000680,-0.008270,0.034380,0.0000
10.688,-0.000680,-0.008179,0.034530,0.0000
10.720,-0.000680,-0.008087,0.034679,0.0000
10.752,-0.000680,-0.007994,0.034828,0.0000
10.784,-0.000680,-0.007900,0.034977,0.0000
10.816,-0.000680,-0.007805,0.035126,0.0000
10.848,-0.000680,-0.007709,0.035275,0.0000
10.880,-0.000680,-0.007612,0.035423,0.0000
10.912,-0.000680,-0.007514,0.035571,0.0000
10.944,-0.000680,-0.007415,0.035719,0.0000
10.976,-0.000680,-0.007315,0.035867,0.0000
11.008,-0.000680,-0.007215,0.036015,0.0000
11.040,-0.000680,-0.007113,0.036162,0.0000
11.072,-0.000680,-0.007010,0.036309,0.0000
11.104,-0.000680,-0.006906,0.036456,0.0000
11.136,-0.000680,-0.006802,0.036603,0.0000
11.168,-0.000680,-0.006696,0.036749,0.0000
11.200,-0.000680,-0.006590,0.036895,0.0000
11.232,-0.000680,-0.006482,0.037041,0.0000
11.264,-0.000680,-0.006374,0.037187,0.0000
11.296,-0.000680,-0.006264,0.037332,0.0000
11.328,-0.000680,-0.006154,0.037478,0.0000
11.360,-0.000680,-0.006043,0.037623,0.0000
11.392,-0.000680,-0.005930,0.037767,0.0000
11.424,-0.000680,-0.005817,0.037912,0.0000
11.456,-0.000680,-0.005703,0.038058,0.0000
11.488,-0.000680,-0.005588,0.038204,0.0000
11.520,-0.000680,-0.005472,0.038349,0.0000
11.552,-0.000680,-0.005355,0.038494,0.0000
11.584,-0.000680,-0.005237,0.038639,0.0000
11.616,-0.000680,-0.005118,0.038783,0.0000
11.648,-0.000680,-0.004999,0.038927,0.0000
11.680,-0.000680,-0.004878,0.039071,0.0000
11.712,-0.000680,-0.004757,0.039215,0.0000
11.744,-0.000680,-0.004634,0.039358,0.0000
11.776,-0.000680,-0.004511,0.039502,0.0000
11.808,-0.000680,-0.004386,0.039644,0.0000
11.840,-0.000680,-0.004261,0.039787,0.0000
11.872,-0.000680,-0.004135,0.039929,0.0000
11.904,-0.000680,-0.004066,0.040044,0.0000
11.968,-0.000680,-0.003988,0.040175,0.0000
12.096,-0.000680,-0.003934,0.040263,0.0000
19.968,-0.000680,-0.003997,0.040146,0.0000
20.000,-0.000680,-0.004125,0.040005,0.0000
20.032,-0.000680,-0.004251,0.039862,0.0000
20.064,-0.000680,-0.004377,0.039720,0.0000
20.096,-0.000680,-0.004502,0.039577,0.0000
20.128,-0.000680,-0.004626,0.039434,0.0000
20.160,-0.000680,-0.004749,0.039290,0.0000
20.192,-0.000680,-0.004872,0.039147,0.0000
20.224,-0.000680,-0.004993,0.039003,0.0000
20.256,-0.000680,-0.005113,0.038859,0.0000
20.288,-0.000680,-0.005233,0.038714,0.0000
20.320,-0.000680,-0.005351,0.038570,0.0000
20.352,-0.000680,-0.005468,0.038425,0.0000
20.384,-0.000680,-0.005585,0.038280,0.0000
20.416,-0.000680,-0.005701,0.038134,0.0000
20.448,-0.000680,-0.005815,0.037988,0.0000
20.480,-0.000680,-0.005929,0.037843,0.0000
20.512,-0.000680,-0.006042,0.037696,0.0000
20.544,-0.000680,-0.006154,0.037551,0.0000
20.576,-0.000680,-0.006265,0.037406,0.0000
20.608,-0.000680,-0.006375,0.037261,0.0000
20.640,-0.000680,-0.006484,0.037115,0.0000
20.672,-0.000680,-0.006592,0.036969,0.0000
20.704,-0.000680,-0.006699,0.036823,0.0000
20.736,-0.000680,-0.006805,0.036677,0.0000
20.768,-0.000680,-0.006910,0.036530,0.0000
20.800,-0.000680,-0.007015,0.036384,0.0000
20.832,-0.000680,-0.007118,0.036236,0.0000
20.864,-0.000680,-0.007220,0.036089,0.0000
20.896,-0.000680,-0.007322,0.035942,0.0000
