time,x,y,z
7.264,-0.000680,-0.009951,0.031194
7.296,-0.000680,-0.009882,0.031348
7.328,-0.000680,-0.009811,0.031501
7.360,-0.000680,-0.009739,0.031654
7.392,-0.000680,-0.009666,0.031807
7.424,-0.000680,-0.009592,0.031960
7.456,-0.000680,-0.009517,0.032113
7.488,-0.000680,-0.009441,0.032265
7.520,-0.000680,-0.009364,0.032417
7.552,-0.000680,-0.009286,0.032569
7.584,-0.000680,-0.009207,0.032721
7.616,-0.000680,-0.009127,0.032873
7.648,-0.000680,-0.009045,0.033025
7.680,-0.000680,-0.008963,0.033176
7.712,-0.000680,-0.008880,0.033327
7.744,-0.000680,-0.008796,0.033478
7.776,-0.000680,-0.008711,0.033629
7.808,-0.000680,-0.008625,0.033779
7.840,-0.000680,-0.008537,0.033930
7.872,-0.000680,-0.008449,0.034080
7.904,-0.000680,-0.008360,0.034230
7.936,-0.000680,-0.008270,0.034380
7.968,-0.000680,-0.008179,0.034530
8.000,-0.000680,-0.008087,0.034679
8.032,-0.000680,-0.007994,0.034828
8.064,-0.000680,-0.007900,0.034977
8.096,-0.000680,-0.007805,0.035126
8.128,-0.000680,-0.007709,0.035275
8.160,-0.000680,-0.007612,0.035423
8.192,-0.000680,-0.007514,0.035571
8.224,-0.000680,-0.007415,0.035719
8.256,-0.000680,-0.007315,0.035867
8.288,-0.000680,-0.007215,0.036015
8.320,-0.000680,-0.007113,0.036162
8.352,-0.000680,-0.007010,0.036309
8.384,-0.000680,-0.006906,0.036456
8.416,-0.000680,-0.006802,0.036603
8.448,-0.000680,-0.006696,0.036749
8.480,-0.000680,-0.006590,0.036895
8.512,-0.000680,-0.006482,0.037041
8.544,-0.000680,-0.006374,0.037187
8.576,-0.000680,-0.006264,0.037332
8.608,-0.000680,-0.006154,0.037478
8.640,-0.000680,-0.006043,0.037623
8.672,-0.000680,-0.005930,0.037767
8.704,-0.000680,-0.005817,0.037912
8.736,-0.000680,-0.005703,0.038058
8.768,-0.000680,-0.005588,0.038204
8.800,-0.000680,-0.005472,0.038349
8.832,-0.000680,-0.005355,0.038494
8.864,-0.000680,-0.005237,0.038639
8.896,-0.000680,-0.005118,0.038783
8.928,-0.000680,-0.004999,0.038927
8.960,-0.000680,-0.004878,0.039071
8.992,-0.000680,-0.004757,0.039215
9.024,-0.000680,-0.004634,0.039358
9.056,-0.000680,-0.004511,0.039502
9.088,-0.000680,-0.004386,0.039644
9.120,-0.000680,-0.004261,0.039787
9.152,-0.000680,-0.004135,0.039929
9.184,-0.000680,-0.004066,0.040044
9.248,-0.000680,-0.003988,0.040175
9.376,-0.000680,-0.003934,0.040263
12.256,-0.000680,-0.003997,0.040146
12.288,-0.000680,-0.004125,0.040005
12.320,-0.000680,-0.004251,0.039862
12.352,-0.000680,-0.004377,0.039720
12.384,-0.000680,-0.004502,0.039577
12.416,-0.000680,-0.004626,0.039434
12.448,-0.000680,-0.004749,0.039290
12.480,-0.000680,-0.004872,0.039147
12.512,-0.000680,-0.004993,0.039003
12.544,-0.000680,-0.005113,0.038859
12.576,-0.000680,-0.005232,0.038714
12.608,-0.000680,-0.005351,0.038570
12.640,-0.000680,-0.005468,0.038425
12.672,-0.000680,-0.005585,0.038280
12.704,-0.000680,-0.005701,0.038134
