time,x,y,z,shaft_length
0.000,0.007741,-0.000680,0.330133,-1.0000
0.032,0.010559,-0.000622,0.346285,-1.0000
0.064,0.012915,-0.000541,0.353284,-1.0000
0.096,0.013305,-0.000405,0.357965,-1.0000
0.128,0.013610,-0.000483,0.360368,-1.0000
0.160,0.014650,-0.000442,0.365620,-1.0000
0.192,0.015690,-0.000401,0.360827,-1.0000
0.224,0.016638,-0.000364,0.366022,-1.0000
0.256,0.016813,-0.000432,0.367475,-1.0000
0.288,0.016925,-0.000433,0.367282,-1.0000
0.320,0.017664,-0.000462,0.369959,-1.0000
0.352,0.017551,-0.000453,0.370719,-1.0000
0.384,0.016881,-0.000514,0.370750,-1.0000
0.416,0.017216,-0.000484,0.371708,-1.0000
0.448,0.017277,-0.000530,0.372210,-1.0000
0.480,0.017261,-0.000503,0.372601,-1.0000
0.512,0.017312,-0.000546,0.372922,-1.0000
0.544,0.017288,-0.000516,0.373170,-1.0000
0.576,0.017333,-0.000556,0.373377,-1.0000
0.608,0.017370,-0.000529,0.373542,-1.0000
0.640,0.017335,-0.000571,0.373665,-1.0000
0.672,0.017371,-0.000541,0.373772,-1.0000
0.736,0.017358,-0.000540,0.373917,-1.0000
0.832,0.017382,-0.000575,0.374046,-1.0000
1.024,0.017402,-0.000580,0.374146,-1.0000
5.600,0.017414,-0.000547,0.374348,-1.0000
5.632,0.017363,-0.000586,0.374511,-1.0000
5.664,0.017387,-0.000553,0.374685,-1.0000
5.696,0.017405,-0.000586,0.374858,-1.0000
5.728,0.017353,-0.000548,0.375022,-1.0000
5.760,0.017375,-0.000582,0.375196,-1.0000
5.792,0.017326,-0.000545,0.375361,-1.0000
5.824,0.017351,-0.000580,0.375536,-1.0000
5.856,0.017370,-0.000548,0.375711,-1.0000
5.888,0.017317,-0.000587,0.375875,-1.0000
5.920,0.017339,-0.000554,0.376051,-1.0000
5.952,0.017355,-0.000587,0.376225,-1.0000
5.984,0.017300,-0.000549,0.376390,-1.0000
6.016,0.017320,-0.000583,0.376564,-1.0000
6.048,0.017268,-0.000546,0.376730,-1.0000
6.080,0.017291,-0.000581,0.376905,-1.0000
6.112,0.017307,-0.000549,0.377079,-1.0000
6.144,0.017251,-0.000588,0.377244,-1.0000
6.176,0.017271,-0.000555,0.377419,-1.0000
6.208,0.017284,-0.000588,0.377593,-1.0000
6.240,0.017227,-0.000550,0.377757,-1.0000
6.272,0.017244,-0.000584,0.377932,-1.0000
6.304,0.017189,-0.000547,0.378097,-1.0000
6.336,0.017209,-0.000582,0.378271,-1.0000
6.368,0.017223,-0.000550,0.378445,-1.0000
6.400,0.017164,-0.000589,0.378609,-1.0000
6.432,0.017181,-0.000556,0.378784,-1.0000
6.464,0.017192,-0.000589,0.378957,-1.0000
6.496,0.017132,-0.000551,0.379121,-1.0000
6.528,0.017147,-0.000586,0.379295,-1.0000
6.560,0.017089,-0.000548,0.379459,-1.0000
6.592,0.017106,-0.000583,0.379633,-1.0000
6.624,0.017117,-0.000551,0.379806,-1.0000
6.656,0.017056,-0.000591,0.379970,-1.0000
6.688,0.017070,-0.000557,0.380143,-1.0000
6.720,0.017079,-0.000591,0.380316,-1.0000
6.752,0.017015,-0.000552,0.380479,-1.0000
6.784,0.017028,-0.000587,0.380652,-1.0000
6.816,0.016967,-0.000549,0.380815,-1.0000
6.848,0.016982,-0.000585,0.380988,-1.0000
6.880,0.016990,-0.000552,0.381161,-1.0000
6.912,0.016926,-0.000592,0.381323,-1.0000
6.944,0.016938,-0.000558,0.381496,-1.0000
6.976,0.016944,-0.000592,0.381668,-1.0000
7.008,0.016878,-0.000553,0.381830,-1.0000
7.040,0.016888,-0.000588,0.382002,-1.0000
7.072,0.016824,-0.000550,0.382164,-1.0000
7.104,0.016837,-0.000586,0.382336,-1.0000
7.136,0.016843,-0.000553,0.382508,-1.0000
7.168,0.016776,-0.000593,0.382669,-1.0000
7.200,0.016785,-0.000559,0.382841,-1.0000
7.232,0.016789,-0.000593,0.383011,-1.0000
7.264,0.016719,-0.000554,0.383172,-1.0000
7.296,0.016727,-0.000589,0.383343,-1.0000
7.328,0.016661,-0.000551,0.383504,-1.0000
7.360,0.016671,-0.000587,0.383675,-1.0000
7.392,0.016674,-0.000554,0.383846,-1.0000
7.424,0.016605,-0.000595,0.384006,-1.0000
7.456,0.016612,-0.000560,0.384176,-1.0000
7.488,0.016613,-0.000595,0.384346,-1.0000
7.520,0.016545,-0.000556,0.384474,-1.0000
7.552,0.016561,-0.000591,0.384569,-1.0000
7.616,0.016533,-0.000588,0.384672,-1.0000
8.096,0.016488,-0.000552,0.384757,-1.0000
